ontology,code,parent_code,depth,root_code,chapter,block,family,provenance,audit_status,official_order_present
ICD-9-CM,01105,0110,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01106,0110,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01110,0111,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01111,0111,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01112,0111,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01113,0111,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01114,0111,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01115,0111,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01116,0111,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01120,0112,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01121,0112,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01122,0112,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01123,0112,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01124,0112,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01125,0112,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01126,0112,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01130,0113,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01131,0113,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01132,0113,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01133,0113,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01134,0113,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01135,0113,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01136,0113,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01140,0114,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01141,0114,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01142,0114,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01143,0114,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01144,0114,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01145,0114,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01146,0114,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01150,0115,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01151,0115,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01152,0115,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01153,0115,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01154,0115,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01155,0115,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01156,0115,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01160,0116,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01161,0116,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01162,0116,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01163,0116,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01164,0116,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01165,0116,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01166,0116,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01170,0117,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01171,0117,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01172,0117,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01173,0117,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01174,0117,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01175,0117,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01176,0117,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01180,0118,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01181,0118,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01182,0118,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01183,0118,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01184,0118,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01185,0118,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01186,0118,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01190,0119,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01191,0119,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01192,0119,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
