model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,4-9,176,176,135,41,135,135,41,0.6592592592592592,0.8740740740740741,0.9481481481481482,0.9851851851851852,0.9851851851851852,0.9925925925925926,0.7609354600800878,0.15121951219512195,0.36341463414634145,0.5524390243902438,0.6926829268292682,0.8195121951219513,0.8951219512195122,0.0,0.0975609756097561,0.24390243902439024,0.4146341463414634,0.6585365853658537,0.8048780487804879
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,10+,20,20,15,5,15,15,5,0.4,0.9333333333333333,1.0,1.0,1.0,1.0,0.5951851851851853,0.0,0.1,0.3,0.525,0.85,1.0,0.0,0.0,0.0,0.2,0.8,1.0
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,1,2238,2153,2153,0,2153,2153,0,0.6200650255457502,0.7872735717603344,0.8476544356711565,0.8987459359033906,0.9298653042266605,0.9535531816070599,0.6973682268511314,,,,,,,,,,,,
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,2-3,479,479,392,87,392,392,87,0.5357142857142857,0.7908163265306123,0.8290816326530612,0.8954081632653061,0.9209183673469388,0.9387755102040817,0.6470909887853208,0.21264367816091953,0.45977011494252873,0.5574712643678161,0.6551724137931034,0.7413793103448276,0.8735632183908046,0.0,0.09195402298850575,0.21839080459770116,0.39080459770114945,0.5402298850574713,0.7701149425287356
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,4-9,176,176,135,41,135,135,41,0.5703703703703704,0.7851851851851852,0.8222222222222222,0.8592592592592593,0.9111111111111111,0.9333333333333333,0.6554534567975753,0.19065040650406503,0.42520325203252035,0.4971544715447154,0.5865853658536585,0.7182926829268294,0.8292682926829268,0.0,0.04878048780487805,0.0975609756097561,0.2926829268292683,0.5365853658536586,0.7073170731707317
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,10+,20,20,15,5,15,15,5,0.4666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,0.6366666666666667,0.125,0.35,0.45,0.625,0.675,0.85,0.0,0.0,0.2,0.4,0.4,0.8
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,1,2238,2153,2153,0,2153,2153,0,0.6600092893636786,0.8425452856479331,0.889921040408732,0.9331165815141663,0.9554110543427775,0.9712029725963771,0.7409689152274831,,,,,,,,,,,,
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,2-3,479,479,392,87,392,392,87,0.6454081632653061,0.875,0.9311224489795918,0.9668367346938775,0.9846938775510204,0.9948979591836735,0.749600758078751,0.26436781609195403,0.47126436781609193,0.632183908045977,0.7471264367816092,0.8275862068965517,0.9022988505747126,0.0,0.14942528735632185,0.3793103448275862,0.5517241379310345,0.6666666666666666,0.8160919540229885
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,4-9,176,176,135,41,135,135,41,0.6888888888888889,0.9037037037037037,0.9629629629629629,0.9703703703703703,0.9925925925925926,0.9925925925925926,0.780584223812982,0.24146341463414636,0.40365853658536577,0.5784552845528456,0.7939024390243902,0.8699186991869919,0.926829268292683,0.0,0.12195121951219512,0.3170731707317073,0.6585365853658537,0.7560975609756098,0.8536585365853658
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,10+,20,20,15,5,15,15,5,0.8,1.0,1.0,1.0,1.0,1.0,0.8722222222222222,0.0,0.05,0.15,0.35,0.625,0.85,0.0,0.0,0.0,0.0,0.6,1.0
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,1,2238,2153,2153,0,2153,2153,0,0.6785880167208547,0.8295401764979099,0.8801672085462146,0.9363678588016721,0.9670227589410125,0.9795633999071064,0.7483134227360106,,,,,,,,,,,,
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,2-3,479,479,392,87,392,392,87,0.6479591836734694,0.8622448979591837,0.9183673469387755,0.9668367346938775,0.9846938775510204,0.9897959183673469,0.7441380493984155,0.20689655172413793,0.5172413793103449,0.5977011494252874,0.7298850574712644,0.7931034482758621,0.8390804597701149,0.0,0.26436781609195403,0.3333333333333333,0.4827586206896552,0.5862068965517241,0.6781609195402298
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,4-9,176,176,135,41,135,135,41,0.6962962962962963,0.8666666666666667,0.9185185185185185,0.9703703703703703,0.9851851851851852,0.9851851851851852,0.7779494749301513,0.16626016260162602,0.43252032520325207,0.5817073170731708,0.7158536585365854,0.784959349593496,0.9024390243902439,0.0,0.14634146341463414,0.2926829268292683,0.4634146341463415,0.6097560975609756,0.8048780487804879
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,10+,20,20,15,5,15,15,5,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,0.8355555555555555,0.3,0.3,0.35,0.5,0.55,0.85,0.0,0.0,0.0,0.0,0.4,0.8
