model,direction,protocol,partition,sample_population,slice,experiment_version,n,answerable_n,noncombination_answerable_n,combination_n,benchmark_version,Hit@1,ChoiceListRecall@1,CompleteScenarioRetrieval@1,Hit@5,ChoiceListRecall@5,CompleteScenarioRetrieval@5,Hit@10,ChoiceListRecall@10,CompleteScenarioRetrieval@10,Hit@25,ChoiceListRecall@25,CompleteScenarioRetrieval@25,Hit@50,ChoiceListRecall@50,CompleteScenarioRetrieval@50,Hit@100,ChoiceListRecall@100,CompleteScenarioRetrieval@100,MRR
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_APPROXIMATE,1.0,1449,1449,1449,0,1.0,0.4830917874396135,,,0.6984126984126984,,,0.7805383022774327,,,0.8536922015182885,,,0.8992408557625949,,,0.9330572808833678,,,0.5840081198619864
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,ALTERNATIVE,1.0,542,542,542,0,1.0,0.5424354243542435,,,0.7933579335793358,,,0.8321033210332104,,,0.8892988929889298,,,0.9206642066420664,,,0.9391143911439115,,,0.6488853953349049
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION,1.0,64,64,0,64,1.0,,0.20703125,0.0,,0.45703125,0.09375,,0.53515625,0.21875,,0.64453125,0.421875,,0.7578125,0.609375,,0.875,0.8125,
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,1.0,69,69,0,69,1.0,,0.19842995169082125,0.0,,0.43381642512077295,0.057971014492753624,,0.5345410628019325,0.14492753623188406,,0.6221014492753623,0.30434782608695654,,0.707608695652174,0.463768115942029,,0.8442028985507246,0.6956521739130435,
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,NO_MAP,1.0,85,0,0,0,1.0,,,,,,,,,,,,,,,,,,,
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_EXACT,1.0,469,469,469,0,1.0,0.9530916844349681,,,0.997867803837953,,,0.997867803837953,,,1.0,,,1.0,,,1.0,,,0.9739678232215546
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_HIGH,1.0,527,527,524,3,1.0,0.8416030534351145,0.3333333333333333,0.0,0.9809160305343512,0.6666666666666666,0.3333333333333333,0.9923664122137404,0.8333333333333334,0.6666666666666666,0.9980916030534351,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,0.9039749007998737
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_MEDIUM,1.0,898,898,820,78,1.0,0.7317073170731707,0.23076923076923078,0.0,0.9231707317073171,0.4230769230769231,0.1282051282051282,0.9695121951219512,0.6014957264957265,0.3717948717948718,0.9902439024390244,0.782051282051282,0.6282051282051282,0.9963414634146341,0.8627136752136751,0.7564102564102564,0.998780487804878,0.9262820512820513,0.8717948717948718,0.8176404070995812
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_LOW,1.0,1019,934,882,52,1.0,0.3299319727891156,0.2673076923076923,0.0,0.6292517006802721,0.43846153846153846,0.1346153846153846,0.7290249433106576,0.5778846153846154,0.28846153846153844,0.8276643990929705,0.6884615384615385,0.46153846153846156,0.8866213151927438,0.7884615384615384,0.5961538461538461,0.927437641723356,0.875,0.7692307692307693,0.4610803676508251
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_EXACT,1.0,704,704,704,0,1.0,0.8934659090909091,,,0.9786931818181818,,,0.9900568181818182,,,0.9928977272727273,,,0.9943181818181818,,,0.9971590909090909,,,0.9318035775777254
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_APPROXIMATE,1.0,1449,1449,1449,0,1.0,0.546583850931677,,,0.7763975155279503,,,0.8412698412698413,,,0.904071773636991,,,0.9365079365079365,,,0.9585921325051759,,,0.6482514533264682
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,ALTERNATIVE,1.0,542,542,542,0,1.0,0.6605166051660517,,,0.8856088560885609,,,0.940959409594096,,,0.9686346863468634,,,0.9870848708487084,,,0.9944649446494465,,,0.7607116249353438
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION,1.0,64,64,0,64,1.0,,0.234375,0.0,,0.47265625,0.171875,,0.65234375,0.40625,,0.7578125,0.578125,,0.84375,0.703125,,0.8984375,0.8125,
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,1.0,69,69,0,69,1.0,,0.25942028985507243,0.0,,0.3992753623188406,0.10144927536231885,,0.5466183574879228,0.2898550724637681,,0.736231884057971,0.5507246376811594,,0.8230676328502415,0.6811594202898551,,0.9166666666666666,0.855072463768116,
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,NO_MAP,1.0,85,0,0,0,1.0,,,,,,,,,,,,,,,,,,,
