source_id,mapping_form,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:80326,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80329,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80330,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80332,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80334,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80336,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80341,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80342,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80344,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80345,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80346,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80349,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80361,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80362,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80363,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80365,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80366,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80369,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80370,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80374,COMBINATION_WITH_ALTERNATIVES,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80376,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80379,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80380,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80381,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80382,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80385,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80386,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80390,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80391,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80392,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80393,COMBINATION_WITH_ALTERNATIVES,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80394,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80395,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80399,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80411,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80412,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80413,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80416,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80419,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80421,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80422,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80423,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80424,COMBINATION_WITH_ALTERNATIVES,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80426,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80429,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80430,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80431,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80432,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80433,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80434,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80436,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80440,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80441,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80442,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80444,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80446,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80449,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80460,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80461,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80462,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80463,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80465,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80466,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80470,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80473,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80474,COMBINATION_WITH_ALTERNATIVES,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80479,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80480,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80481,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80482,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80483,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80485,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80486,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80489,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80490,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80493,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80494,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80495,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80499,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80600,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80601,COMBINATION_WITH_ALTERNATIVES,False,True,3
track_a_v1.0:ICD9CM_TO_ICD10CM:80602,COMBINATION_WITH_ALTERNATIVES,False,True,3
track_a_v1.0:ICD9CM_TO_ICD10CM:80603,COMBINATION_WITH_ALTERNATIVES,False,True,2
track_a_v1.0:ICD9CM_TO_ICD10CM:80605,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80608,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80609,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80610,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80611,COMBINATION_WITH_ALTERNATIVES,False,True,3
track_a_v1.0:ICD9CM_TO_ICD10CM:80613,COMBINATION_WITH_ALTERNATIVES,False,True,2
track_a_v1.0:ICD9CM_TO_ICD10CM:80618,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80619,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80620,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80621,COMBINATION_WITH_ALTERNATIVES,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80622,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80623,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80625,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80626,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80627,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80629,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80632,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80633,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80634,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80638,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:8064,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:8065,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80660,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80661,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80662,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80669,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80670,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80671,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80672,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80679,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:8068,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:8069,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:81318,COMBINATION_WITH_ALTERNATIVES,True,False,0
