source_id,mapping_form,scenario_count,choice_list_count,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:80192,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80193,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80194,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80196,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80199,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80313,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80315,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80321,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80322,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,2
track_a_v1.0:ICD9CM_TO_ICD10CM:80323,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80325,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80326,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80329,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80332,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80341,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80342,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80344,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80345,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80346,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80349,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80362,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80363,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80365,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80370,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80374,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80376,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80379,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80382,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80385,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80390,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80391,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80392,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80393,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80394,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
